epsilon,nu,positive_pair_member,eigenvalue_numeric,local_asymptotic_center,absolute_error_center,error_over_epsilon_2,basis_change_Nminus20_to_N,basis_size_per_component,quadrature_order
0.08,0.5,1,0.55451753061041,0.557200143575,2.68261296e-03,4.19158276e-01,2.22044605e-16,140,1000
0.08,0.5,2,0.55942024014659,0.557200143575,2.22009657e-03,3.46890089e-01,1.11022302e-16,140,1000
0.04,0.5,1,0.39645736899871,0.397,5.42631001e-04,3.39144376e-01,2.22044605e-16,140,1000
0.04,0.5,2,0.39744532086647,0.397,4.45320866e-04,2.78325542e-01,1.49880108e-15,140,1000
0.02,0.5,1,0.28165925527631,0.28178205230284,1.22797027e-04,3.06992566e-01,3.33066907e-16,140,1000
0.02,0.5,2,0.28188707077947,0.28178205230284,1.05018477e-04,2.62546192e-01,4.44089210e-16,140,1000
0.01,0.5,1,0.19959595974144,0.199625,2.90402586e-05,2.90402586e-01,3.60822483e-16,140,1000
0.01,0.5,2,0.19965086319055,0.199625,2.58631906e-05,2.58631906e-01,5.55111512e-17,140,1000
0.005,0.5,1,0.14128174822341,0.14128877371584,7.02549242e-06,2.81019697e-01,2.22044605e-16,140,1000
0.005,0.5,2,0.1412952351114,0.14128877371584,6.46139557e-06,2.58455823e-01,4.71844785e-16,140,1000
