epsilon,nu,mu,radius,gap_numeric,leading_order,two_term_asymptotic,absolute_error_two_term,relative_error_two_term,discrete_spectral_pairing_error,basis_size_per_component,quadrature_order
0.1,0.5,1.0,1.0,0.14786065198729,0.14142135623731,0.14672465709621,1.13599489e-03,7.68287489e-03,7.10542736e-15,112,1000
0.08,0.5,1.0,1.0,0.11706084458116,0.11313708498985,0.11653119753954,5.29647042e-04,4.52454485e-03,8.88178420e-15,112,1000
0.06,0.5,1.0,1.0,0.086968723344347,0.084852813742386,0.086762002051589,2.06721293e-04,2.37696134e-03,7.10542736e-15,112,1000
0.04,0.5,1.0,1.0,0.057474509677031,0.056568542494924,0.057417070632348,5.74390447e-05,9.99382944e-04,6.21724894e-15,112,1000
0.03,0.5,1.0,1.0,0.042927245973127,0.042426406871193,0.042903703948494,2.35420246e-05,5.48416841e-04,1.33226763e-14,112,1000
0.02,0.5,1.0,1.0,0.028503190937141,0.028284271247462,0.028496403281818,6.78765532e-06,2.38136682e-04,1.24344979e-14,112,1000
0.015,0.5,1.0,1.0,0.021335353924035,0.021213203435596,0.021332527704922,2.82621911e-06,1.32466474e-04,1.68753900e-14,112,1000
0.01,0.5,1.0,1.0,0.014195995377452,0.014142135623731,0.01419516863232,8.26745132e-07,5.82379122e-05,2.13162821e-14,112,1000
0.1,1.5,1.0,1.0,0.43960226006305,0.42426406871193,0.44017397128863,5.71711226e-04,1.30051930e-03,7.10542736e-15,112,1000
0.08,1.5,1.0,1.0,0.34943596933934,0.33941125496954,0.34959359261863,1.57623279e-04,4.51079148e-04,7.10542736e-15,112,1000
0.06,1.5,1.0,1.0,0.26026395979719,0.25455844122716,0.26028600615477,2.20463576e-05,8.47076852e-05,3.77475828e-15,112,1000
0.04,1.5,1.0,1.0,0.17225503175978,0.16970562748477,0.17225121189704,3.81986274e-06,2.21756235e-05,6.21724894e-15,112,1000
0.03,1.5,1.0,1.0,0.12871458061033,0.12727922061358,0.12871111184548,3.46876485e-06,2.69492767e-05,8.43769499e-15,112,1000
0.02,1.5,1.0,1.0,0.085490735233192,0.084852813742386,0.085489209845454,1.52538774e-06,1.78427257e-05,6.66133815e-15,112,1000
0.015,1.5,1.0,1.0,0.063998324112227,0.063639610306789,0.063997583114765,7.40997462e-07,1.15783885e-05,6.55031585e-15,112,1000
0.01,1.5,1.0,1.0,0.042585752968328,0.042426406871193,0.04258550589696,2.47071368e-07,5.80173770e-06,5.66213743e-15,112,1000
